внутреннiя	ru
новости	ru
положенiе	ru
наблюдателя	ru
окружоннаго	ru
современными	ru
вопросами	ru
вопросы	ru
открытые	ru
и	ru
закрытые	ru
одинъ	ru
вопросъ	ru
лишнiй	ru
сила	ru
быстрой	ru
наблюдательности	ru
уносящая	ru
за	ru
предѣлы	ru
времени	ru
щекотливый	ru
о	ru
жалованьѣ	ru
предводителямъ	ru
дворянства	ru
томъ	ru
гдѣ	ru
не	ru
требуется	ru
безкорыстiя	ru
назиданiе	ru
молодымъ	ru
судебнымъ	ru
слѣдователямъ	ru
объ	ru
уѣздныхъ	ru
стряпчихъ	ru
умиротворяющее	ru
дѣйствiе	ru
словесныхъ	ru
судовъ	ru
мѣщанахъ	ru
самородки	ru
самоучки	ru
новыя	ru
явленiя	ru
въ	ru
дѣлѣ	ru
распространенiя	ru
грамотности	ru
уменьшенiе	ru
числа	ru
сотрудниковъ	ru
воскресныхъ	ru
школъ	ru
неравномѣрность	ru
сочувствiя	ru
къ	ru
нимъ	ru
разныхъ	ru
мѣстахъ	ru
распоряженiя	ru
для	ru
открытiя	ru
женскихъ	ru
училищъ	ru
граждане	ru
городовъ	ru
ярославской	ru
губернiи	ru
еще	ru
нѣсколько	ru
фактовъ	ru
по	ru
части	ru
образованiя	ru
нѣчто	ru
курочкѣ	ru
собачкѣ	ru
конкурсъ	ru
на	ru
книгу	ru
дѣтскаго	ru
чтенiя	ru
слова	ru
два	ru
производительныхъ	ru
силахъ	ru
мѣстные	ru
послѣднiй	ru
хлыстахъ	ru
кулакахъ	ru
бываютъ	ru
же	ru
такiя	ru
времена	ru
какъ	ru
наше	ru
настоящее	ru
время	ru
уже	ru
заслужившее	ru
столько	ru
восторженныхъ	ru
похвалъ	ru
породившее	ru
жаркихъ	ru
восторговъ	ru
вызвавшее	ru
звучныхъ	ru
лирическихъ	ru
излiянiй	ru
все–таки	ru
томящее	ru
щемящее	ru
сердце	ru
скромнаго	ru
потомучто	ru
это	ru
все	ru
состоитъ	ru
изъ	ru
вопросовъ	ru
куда	ru
ни	ru
сунетъ	ru
носъ	ru
свой	ru
наблюдатель	ru
передъ	ru
находя	ru
вдругъ	ru
него	ru
отвѣта	ru
онъ	ru
повертывается	ru
другую	ru
сторону	ru
другой	ru
третью	ru
третiй	ru
вотъ	ru
очарованный	ru
стоитъ	ru
среди	ru
вертящихся	ru
вкругъ	ru
у	ru
глазахъ	ru
рябитъ	ru
вереница	ru
сливается	ru
неопредѣленный	ru
что–то	ru
богъ	ru
дастъ	ru
большимъ	ru
разрѣшеннымъ	ru
крестьянскимъ	ru
вопросомъ	ru
тянутся	ru
мѣщанскiй	ru
купеческiй	ru
откупной	ru
финансовый	ru
промышленный	ru
торговый	ru
робко	ru
проходя	ru
мимо	ru
этихъ	ru
крупныхъ	ru
трудныхъ	ru
стремится	ru
простѣйшiя	ru
менѣе	ru
сложныя	ru
сферы	ru
жизни	ru
но	ru
тамъ	ru
слышитъ	ru
только	ru
одни	ru
съ	ru
одной	ru
стороны	ru
вопрошаютъ	ru
будочникахъ	ru
мостовыхъ	ru
здѣсь	ru
требуютъ	ru
ямщикахъ	ru
конокрадахъ	ru
проч	ru
даже	ru
указатель	ru
экономическiй	ru
читаете	ru
ли	ru
вы	ru
читатель	ru
журналъ	ru
экономический	ru
впрочемъ	ru
мы	ru
то	ru
хотѣли	ru
спросить	ru
просматриваете	ru
начальную	ru
страницу	ru
каждаго	ru
указателя	ru
озаглавленную	ru
словами	ru
видите	ru
открылъ	ru
себя	ru
особую	ru
рубрику	ru
преимуществу	ru
открытыхъ	ru
хотя	ru
правду	ru
сказать	ru
знаемъ	ru
хорошенько	ru
какiе	ru
называются	ru
закрытыми	ru
развѣ	ru
тѣ	ru
что	ru
закрыты	ru
пока	ru
сердцѣ	ru
человѣка	ru
дерзнули	ru
показаться	ru
свѣтъ	ru
божiй	ru
бы	ru
было	ru
совсѣмъ	ru
особаго	ru
рода	ru
свойства	ru
нихъ	ru
чрезвычайно	ru
легко	ru
отвѣчать	ru
самаго	ru
вопрошающаго	ru
непремѣнно	ru
давно	ru
готовы	ru
отвѣты	ru
произноситъ	ru
ихъ	ru
единственно	ru
вѣжливости	ru
такъ	ru
напримѣръ	ru
спрашивается	ru
чемъ	ru
основывается	ru
иницiатива	ru
нѣкоторыхъ	ru
начальниковъ	ru
нѣкоторымъ	ru
вѣдомствамъ	ru
представлять	ru
отъ	ru
наградамъ	ru
подчиненныхъ	ru
имъ	ru
чиновниковъ	ru
имѣетъ	ru
участiя	ru
нерѣдко	ru
произволъ	ru
если	ru
списки	ru
избранныхъ	ru
этомъ	ru
отношенiи	ru
счастливцевъ	ru
включаются	ru
имена	ru
другихъ	ru
лицъ	ru
вполнѣ	ru
достойныхъ	ru
наградъ	ru
повышенiй	ru
службѣ	ru
указ	ru
238	ru
нѣтъ	ru
воля	ru
ваша	ru
а	ru
эти	ru
слѣдовало	ru
назвать	ru
наивными	ru
основана	ru
да	ru
различныя	ru
основанiя	ru
весьма	ru
крайне	ru
разнообразныя	ru
ну	ru
можно	ru
выражаться	ru
какой	ru
тутъ	ru
благоусмотрѣнiе	ru
вамъ	ru
отвѣтъ	ru
первый	ru
зависитъ	ru
благоусмотрѣнiя	ru
нашему	ru
мнѣнiю	ru
этотъ	ru
несвоевременный	ru
хотятъ	ru
кого–нибудь	ru
обошли	ru
наградой	ru
большая	ru
важность	ru
дѣло	ru
шло	ru
притиснули	ru
пискнулъ	ru
тогда	ru
хоть	ru
человѣчеству	ru
могли	ru
вопросительный–то	ru
крючекъ	ru
сдѣлать	ru
тѣмъ	ru
болѣе	ru
предметъ	ru
достоинъ	ru
вниманiя	ru
способовъ	ru
притискиванiя	ru
которые	ru
доведены	ru
до	ru
высокой	ru
степени	ru
искусства	ru
напр	ru
притискиваютъ	ru
иногда	ru
мягко	ru
деликатно	ru
наипрiятнѣйшей	ru
улыбкой	ru
устахъ	ru
самъ	ru
притискиваемый	ru
долго	ru
улыбается	ru
нисколько	ru
догадываясь	ru
притиснутъ	ru
ужь	ru
догадается	ru
перестанетъ	ru
улыбаться	ru
когда	ru
произойдетъ	ru
непрiятное	ru
ощущенiе	ru
ребрахъ	ru
крайней	ru
мѣрѣ	ru
достойный	ru
наблюденiя	ru
переморяться	ru
изъ–за	ru
зависящихъ	ru
оставимъ	ru
лучше	ru
совершенно	ru
сторонѣ	ru
мирѣ	ru
доживающiе	ru
перекоры	ru
подобные	ru
позволительно	ru
поднимать	ru
эпохи	ru
неурожай	ru
сказали	ru
ими	ru
преизобилуетъ	ru
оставляя	ru
подходя	ru
другимъ	ru
скромный	ru
останавливается	ru
тутъ–то	ru
начинаетъ	ru
чувствовать	ru
щемленiе	ru
сердца	ru
недостатку	ru
всеобъемлемости	ru
состоянiи	ru
разрѣшить	ru
всѣ	ru
предугадать	ru
они	ru
положительно	ru
разрѣшатся	ru
другими	ru
полнаго	ru
всѣхъ	ru
средствъ	ru
ему	ru
остается	ru
заносить	ru
свою	ru
лѣтопись	ru
ожидать	ru
ждемъ	ru
плывя	ru
теченiю	ru
выяснить	ru
представьте	ru
себѣ	ru
быструю	ru
безконечно–широкую	ru
рѣку	ru
легкiй	ru
туманъ	ru
совершенное	ru
безвѣтрiе	ru
неподвижнымъ	ru
стекломъ	ru
поверхность	ru
ея	ru
кажется	ru
плывущему	ru
срединѣ	ru
наблюдателю	ru
застала	ru
эта	ru
застылъ	ru
нею	ru
его	ru
малый	ru
челнокъ	ru
поддается	ru
обману	ru
чувствъ	ru
видимые	ru
вокругъ	ru
всплески	ru
выскакивающiе	ru
пузыри	ru
разсѣеваютъ	ru
этого	ru
обмана	ru
знаетъ	ru
быстроту	ru
рѣки	ru
сознаетъ	ru
невозможность	ru
неподвижности	ru
вслѣдствiе	ru
того	ru
вѣрить	ru
быстрое	ru
движенiе	ru
всей	ru
массы	ru
потока	ru
быстро	ru
несущаго	ru
челнокомъ	ru
конечно	ru
описываемъ	ru
собственному	ru
чувству	ru
неодареннаго	ru
всеобъемлемостью	ru
умѣющаго	ru
забѣгать	ru
впередъ	ru
событiй	ru
были	ru
одарены	ru
такими	ru
способностями	ru
вѣрили	ru
высокую	ru
степень	ru
своей	ru
можетъ	ru
быть	ru
стали	ru
дѣйствовать	ru
разсуждать	ru
подобно	ru
г	ru
погодину	ru
разсказываетъ	ru
79	ru
спб	ru
вѣд	ru
засѣли	ru
недѣли	ru
двѣ	ru
дома	ru
безвыходно	ru
потомъ	ru
выбравъ	ru
удобный	ru
день	ru
рѣшились	ru
посвятить	ru
наблюденiямъ	ru
разомъ	ru
кончили	ru
позавтракали	ru
одномъ	ru
кругу	ru
пообѣдали	ru
другомъ	ru
напились	ru
чаю	ru
третьемъ	ru
поужинали	ru
четвертомъ	ru
насъ	ru
готово	ru
полное	ru
отчетливое	ru
понятiе	ru
настоящемъ	ru
общественнаго	ru
мнѣнiя	ru
настроенiи	ru
умовъ	ru
во	ru
кругахъ	ru
знанiяхъ	ru
окинувъ	ru
быстрымъ	ru
взоромъ	ru
нами	ru
написали	ru
стало	ru
между	ru
никакихъ	ru
привилегiй	ru
тысячу	ru
лѣтъ	ru
при	ru
основанiи	ru
государства	ru
живи	ru
всякъ	ru
тебѣ	ru
угодно	ru
выбирай	ru
которое	ru
сердцу	ru
получай	ru
слѣдующую	ru
награду	ru
сполна	ru
писанiю	ru
дѣлатель	ru
мзды	ru
своея	ru
хочешь	ru
пахать	ru
землю	ru
ты	ru
крестьянинъ	ru
торговать	ru
записывайся	ru
гильдiю	ru
вступай	ru
купеческое	ru
сословiе	ru
ловокъ	ru
руками	ru
работать	ru
иди	ru
фабрику	ru
любопытство	ru
тебя	ru
одолѣваетъ	ru
хочется	ru
знать	ru
училища	ru
университеты	ru
академiи	ru
настежь	ru
растворены	ru
писать	ru
перо	ru
чернильница	ru
справедливо	ru
знаю	ru
почему	ru
сейчасъ	ru
пришолъ	ru
намъ	ru
память	ru
иванъ	ru
иванычъ	ru
другъ	ru
ивана	ru
никифорыча	ru
который	ru
выходя	ru
церкви	ru
послѣ	ru
обѣдни	ru
обыкновенно	ru
обходилъ	ru
нищую	ru
братiю	ru
останавливался	ru
какой–нибудь	ru
самой	ru
искалеченной	ru
бабой	ru
участiемъ	ru
распрашивалъ	ru
ее	ru
чего	ru
ей	ru
узнавши	ru
хотѣлось	ru
